b  ,,Name,The,Descriptor,Description,UUID,Hash
321,zurinft_r3c6_omunyinyi,omunyinyi,,omunyinyi wears a kitenge coat,omunyinyi-,c2d6a3ac-1d4d-4268-ba7f-4f0f8f50c1ab,
322,zurinft_r3c7_kamau,kamau,,closed eyes meditating,kamau-closed eyes meditating,20330f5c-40c2-4f6a-b9d8-d1d04fb97daf,
323,zurinft_r3c8_mutiso,mutiso,,masked up mutiso dozzing off,mutiso-masked up mutiso dozzing off,0706c338-42eb-4d26-84ea-c24b39628200,
324,zurinft_r3c9_omondi,Omondi,,omondi wears a green coat,omondi-omondi wears a green coat,bfb5e8d5-d7a7-4aa8-85e8-d7d9afd4adb3,
325,zurinft_r3c10_barasa,barasa,,looks up to the sky and makes a wish,barasa-looks up to the sky and makes a wish,2da4bef4-38cc-4414-99ad-7361fac04b2b,
326,zurinft_r4c1_mwembu,Mwembu,,"old but not so old, with yellow his favorite color ","mwembu-old but not so old, with yellow his favorite color ",36181230-6ac9-417f-af5c-23bdd2c25ecb,
327,zurinft_r4c2_mbogi,mbogi,,masked up mbogi after capture,mbogi-masked up mbogi after capture,3a7bc3c4-1463-42ce-84c9-07337da64435,
328,zurinft_r4c3_mrosho,mrosho,,masked up mrosho,mrosho-masked up mrosho,b2ca2c76-3b6d-43f1-8cc9-089b6ab83876,
329,zurinft_r4c4_milele,milele,,milele with a nice african print in orange,milele-milele with a nice african print in orange,3644b0259-d75c-456d-934c-ce7c052bad3a,
330,zurinft_r4c5_olebon,olebon,,olebon in customized buba sokoto,olebon-olebon in customized buba sokoto,de261efe-731d-461e-b2e4-42edd2f48f72,
331,zurinft_r4c6_chifu,chifu,,clothing inspired by maasai shuka,chifu-clothing inspired by maasai shuka,239933c4-7177-4b5b-86e8-e6f952301344,
332,zurinft_r4c7_mwangaa,mwangaa,,mwanga the chief,mwangaa-mwanga the chief,49179b62-812d-4d0f-b518-4af7fa79f8bc,
333,zurinft_r4c8_waforte,waforte,,masked up man who does sleep a lot,waforte-masked up man who does sleep a lot,871912a8-d96e-4594-b7b3-450d94ee6924,
334,zurinft_r4c9_kariuki,kariuki,,kariuki closes his eyes ,kariuki-kariuki closes his eyes ,6a5b6fa6-0f91-4b01-957f-c766945eb704,
335,zurinft_r4c10_kenyanese,kenyanese,,masked up man with  with white cloth,kenyanese-masked up man with  with white cloth,0706c338-42eb-4d26-84ea-c24b39628200,
336,zurinft_r7c6_nyimbo,nyimbo,,glasses and a pot for the night,nyimbo-glasses and a pot for the night,d05af807-b3e9-4ad3-8df1-b7864d2daa33,
337,zurinft_r7c7_mathaai,mathaai,,mathaai the warrior ,mathaai-mathaai the warrior ,0871cb8c-8d56-445d-92c7-01793f327707,
338,zurinft_r7c8_tish,tish,,angry tish with specs on,tish-angry tish with specs on,750a89dc-44ff-43bf-8211-b7776f1b5e52,
339,zurinft_r7c9_wamenza,wamenza,,wamenza the leader ,wamenza-wamenza the leader ,7348c9ed-4ac9-4785-9434-0a1f0dcaf8d8,
340,zurinft_r7c10_isaya,isaya,,isaya the traveller,isaya-isaya the traveller,41781a16-d2b8-4fc6-a1f4-b9fffc5c95ba,